epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9518,1.63644,2.60659,1.55683,0.4721,0.42893,0.38303,0.17123,1.78759,2.16941,1.62339,0.0033268,0.0033268,0.0033268
2,162.708,1.61283,1.94712,1.48469,0.44263,0.40104,0.36222,0.15814,1.91687,2.1409,1.68555,0.0065942,0.0065942,0.0065942
3,236.283,1.67787,1.82681,1.53548,0.42419,0.39281,0.31431,0.13216,2.07727,2.46035,1.9433,0.00979559,0.00979559,0.00979559
4,305.464,1.71124,1.76942,1.56844,0.47441,0.4493,0.41573,0.17791,1.90742,1.86688,1.68867,0.009703,0.009703,0.009703
5,382.066,1.68218,1.68084,1.55521,0.54652,0.49105,0.49256,0.234,1.7616,1.70187,1.5881,0.009604,0.009604,0.009604
6,458.135,1.6371,1.58664,1.51945,0.55669,0.51704,0.51892,0.25298,1.70824,1.5609,1.53949,0.009505,0.009505,0.009505
7,531.268,1.61962,1.53964,1.49485,0.61465,0.53247,0.56979,0.28454,1.70125,1.49571,1.54571,0.009406,0.009406,0.009406
8,605.719,1.58749,1.4952,1.48567,0.60743,0.56094,0.58926,0.306,1.62425,1.42779,1.51491,0.009307,0.009307,0.009307
9,676.389,1.56324,1.43502,1.46474,0.58566,0.54361,0.5592,0.28434,1.66519,1.47415,1.52284,0.009208,0.009208,0.009208
10,748.863,1.56452,1.43336,1.46433,0.59142,0.54014,0.56596,0.28644,1.67817,1.47649,1.52105,0.009109,0.009109,0.009109
11,819.515,1.53432,1.39918,1.44383,0.63689,0.55749,0.59934,0.31022,1.62492,1.36894,1.4873,0.00901,0.00901,0.00901
12,895.665,1.52917,1.37509,1.44036,0.65016,0.57328,0.61808,0.32901,1.59404,1.33621,1.46368,0.008911,0.008911,0.008911
13,966.329,1.51891,1.36037,1.4342,0.6432,0.59734,0.6333,0.33365,1.59328,1.3119,1.46879,0.008812,0.008812,0.008812
14,1042.69,1.50976,1.33354,1.42766,0.64915,0.59759,0.64023,0.34361,1.57146,1.29124,1.45858,0.008713,0.008713,0.008713
15,1114.45,1.50121,1.3322,1.42075,0.65213,0.58661,0.63904,0.33728,1.59372,1.31262,1.44301,0.008614,0.008614,0.008614
16,1182.65,1.48986,1.30461,1.40522,0.65095,0.60343,0.64062,0.34144,1.5791,1.28612,1.45328,0.008515,0.008515,0.008515
17,1251.16,1.47417,1.28607,1.40211,0.66355,0.61314,0.6536,0.34795,1.55965,1.27111,1.45076,0.008416,0.008416,0.008416
18,1318.7,1.47578,1.28353,1.39489,0.65683,0.61674,0.65236,0.34936,1.54735,1.25775,1.41099,0.008317,0.008317,0.008317
19,1400.55,1.46615,1.27757,1.39307,0.65816,0.62185,0.65648,0.35742,1.53505,1.23008,1.42617,0.008218,0.008218,0.008218
20,1480.58,1.45833,1.25583,1.38515,0.67053,0.61642,0.67052,0.36539,1.53218,1.22213,1.41256,0.008119,0.008119,0.008119
21,1560.67,1.45398,1.23752,1.37806,0.66915,0.62396,0.66268,0.36073,1.53771,1.22869,1.41642,0.00802,0.00802,0.00802
22,1641.09,1.44525,1.23205,1.37915,0.68304,0.63481,0.68234,0.37902,1.51308,1.18393,1.39959,0.007921,0.007921,0.007921
23,1721.23,1.4359,1.223,1.37223,0.69635,0.63737,0.68989,0.37919,1.52453,1.16981,1.39654,0.007822,0.007822,0.007822
24,1801.06,1.43039,1.20311,1.36582,0.66294,0.63674,0.67532,0.36711,1.53918,1.20005,1.4113,0.007723,0.007723,0.007723
25,1871.25,1.42372,1.20566,1.35824,0.68881,0.64317,0.69493,0.38155,1.50403,1.1539,1.37926,0.007624,0.007624,0.007624
26,1944.53,1.41594,1.18551,1.35643,0.67895,0.64556,0.68516,0.37994,1.49739,1.15711,1.38236,0.007525,0.007525,0.007525
27,2015.14,1.41977,1.18892,1.35196,0.68775,0.6412,0.69281,0.38488,1.50363,1.1341,1.38399,0.007426,0.007426,0.007426
28,2093.34,1.41891,1.1909,1.36274,0.70381,0.64132,0.70135,0.38717,1.49304,1.14551,1.36441,0.007327,0.007327,0.007327
29,2175.24,1.40679,1.16616,1.34462,0.69832,0.64864,0.69957,0.39265,1.48603,1.1289,1.3693,0.007228,0.007228,0.007228
30,2258.22,1.39458,1.14759,1.33788,0.72393,0.65091,0.7132,0.39905,1.4911,1.10234,1.37058,0.007129,0.007129,0.007129
31,2340.27,1.39686,1.14919,1.34069,0.71303,0.66264,0.71558,0.40132,1.4801,1.09577,1.36733,0.00703,0.00703,0.00703
32,2422.69,1.38421,1.14004,1.33423,0.71854,0.66927,0.7198,0.40611,1.47442,1.0912,1.36105,0.006931,0.006931,0.006931
33,2503.51,1.38579,1.1345,1.32911,0.71762,0.65871,0.71532,0.40333,1.46553,1.09513,1.3513,0.006832,0.006832,0.006832
34,2586.44,1.38263,1.11924,1.32392,0.71567,0.65692,0.71773,0.40534,1.47079,1.09864,1.35433,0.006733,0.006733,0.006733
35,2667.41,1.37244,1.118,1.31908,0.72117,0.66288,0.72257,0.40584,1.46888,1.08913,1.35501,0.006634,0.006634,0.006634
36,2749.19,1.37066,1.11019,1.32623,0.72205,0.65255,0.71874,0.40711,1.46101,1.07799,1.35548,0.006535,0.006535,0.006535
37,2830.97,1.37398,1.09971,1.3194,0.71236,0.67048,0.7218,0.41067,1.46172,1.07831,1.34932,0.006436,0.006436,0.006436
38,2904.63,1.36332,1.10005,1.31052,0.73296,0.65715,0.7255,0.40979,1.46415,1.0728,1.34506,0.006337,0.006337,0.006337
39,2985.39,1.35099,1.08515,1.31333,0.72259,0.67946,0.72808,0.41093,1.45201,1.0643,1.34713,0.006238,0.006238,0.006238
40,3068.37,1.35924,1.08857,1.31053,0.7234,0.67587,0.72899,0.41647,1.44305,1.05357,1.33294,0.006139,0.006139,0.006139
41,3142.25,1.35546,1.07317,1.30687,0.71677,0.68189,0.73302,0.41846,1.44619,1.04744,1.33913,0.00604,0.00604,0.00604
42,3226.72,1.34967,1.07653,1.30856,0.72398,0.67216,0.73307,0.41972,1.44757,1.0432,1.33826,0.005941,0.005941,0.005941
43,3309.54,1.34422,1.06925,1.30377,0.7337,0.67371,0.73577,0.42011,1.45232,1.03748,1.34216,0.005842,0.005842,0.005842
44,3393.56,1.3413,1.06577,1.30187,0.74034,0.67895,0.74331,0.42888,1.42989,1.02101,1.32524,0.005743,0.005743,0.005743
45,3477.1,1.34195,1.05544,1.30165,0.74688,0.68137,0.74424,0.42394,1.44969,1.03919,1.33812,0.005644,0.005644,0.005644
46,3560.43,1.33378,1.0434,1.28853,0.74008,0.68619,0.74509,0.42724,1.44787,1.02762,1.33798,0.005545,0.005545,0.005545
47,3644.64,1.33604,1.05497,1.29302,0.74195,0.67732,0.74595,0.43067,1.43801,1.02211,1.33278,0.005446,0.005446,0.005446
48,3727.72,1.32295,1.04196,1.28724,0.74754,0.6786,0.7453,0.42958,1.44338,1.01351,1.33424,0.005347,0.005347,0.005347
49,3811.5,1.33139,1.04125,1.28916,0.73779,0.68696,0.74405,0.43117,1.43349,1.01796,1.32452,0.005248,0.005248,0.005248
50,3895.19,1.31631,1.02304,1.27976,0.75732,0.68644,0.74889,0.43315,1.42714,1.00848,1.32652,0.005149,0.005149,0.005149
51,3978.23,1.31342,1.01859,1.2805,0.75392,0.67692,0.75014,0.43096,1.44166,1.00277,1.33991,0.00505,0.00505,0.00505
52,4062.33,1.31008,1.01696,1.2764,0.73973,0.68963,0.75085,0.4361,1.42292,0.99293,1.32577,0.004951,0.004951,0.004951
53,4145.58,1.30302,1.00233,1.27271,0.74282,0.68605,0.74788,0.4337,1.43014,0.99694,1.32755,0.004852,0.004852,0.004852
54,4228.53,1.30201,0.99933,1.27058,0.7555,0.69014,0.75201,0.43323,1.44161,0.99156,1.33182,0.004753,0.004753,0.004753
